session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-04-28_17-40-12,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-40-12/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-40-53,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-40-53/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-42-24,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-42-24/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-43-17,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-43-17/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-44-37,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-44-37/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-46-06,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-46-06/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-47-16,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-47-16/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-48-34,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-48-34/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-51-06,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-51-06/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-52-11,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-52-11/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-52-58,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-52-58/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_17-53-50,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-53-50/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
