session_id,dataset_id,legacy_dataset_name,current_raw_path,target_raw_path,mapping_scope,migration_status,notes
session_2026-04-28_17-40-12,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-40-12\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-40-12/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-40-53,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-40-53\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-40-53/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-42-24,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-42-24\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-42-24/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-43-17,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-43-17\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-43-17/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-44-37,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-44-37\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-44-37/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-46-06,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-46-06\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-46-06/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-47-16,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-47-16\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-47-16/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-48-34,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-48-34\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-48-34/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-51-06,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-51-06\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-51-06/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-52-11,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-52-11\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-52-11/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-52-58,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-52-58\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-52-58/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-53-50,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-53-50\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-53-50/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_17-55-13,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_17-55-13\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_17-55-13/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-09-17,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-09-17\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-09-17/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-13-25,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-13-25\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-13-25/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-17-41,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-17-41\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-17-41/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-18-51,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-18-51\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-18-51/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-25-58,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-25-58\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-25-58/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-27-05,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-27-05\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-27-05/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-28-45,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-28-45\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-28-45/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-32-20,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-32-20\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-32-20/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_18-34-54,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_18-34-54\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_18-34-54/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-16-05,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-16-05\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-16-05/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-17-47,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-17-47\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-17-47/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-19-07,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-19-07\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-19-07/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-21-22,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-21-22\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-21-22/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-23-01,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-23-01\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-23-01/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-28-29,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-28-29\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-28-29/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-29-44,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-29-44\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-29-44/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-31-41,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-31-41\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-31-41/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-33-34,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-33-34\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-33-34/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-36-19,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-36-19\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-36-19/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-37-54,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-37-54\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-37-54/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-41-16,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-41-16\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-41-16/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-43-29,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-43-29\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-43-29/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-44-17,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-44-17\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-44-17/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-46-29,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-46-29\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-46-29/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-48-17,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-48-17\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-48-17/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-50-00,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-50-00\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-50-00/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-51-46,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-51-46\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-51-46/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-53-56,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-53-56\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-53-56/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_22-55-49,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_22-55-49\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-55-49/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-04-28_23-01-19,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-04-28_23-01-19\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_23-01-19/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_17-38-31,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_17-38-31\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_17-38-31/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_17-38-53,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_17-38-53\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_17-38-53/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-31-04,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-31-04\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-31-04/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-34-08,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-34-08\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-34-08/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-34-24,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-34-24\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-34-24/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-34-42,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-34-42\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-34-42/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-35-03,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-35-03\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-35-03/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-35-23,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-35-23\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-35-23/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-35-40,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-35-40\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-35-40/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-35-57,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-35-57\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-35-57/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-36-16,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-36-16\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-36-16/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-42-43,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-42-43\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-42-43/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-43-00,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-43-00\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-00/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-43-16,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-43-16\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-16/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-43-33,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-43-33\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-33/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-43-57,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-43-57\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-57/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-44-13,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-44-13\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-13/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-44-31,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-44-31\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-31/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-44-48,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-44-48\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-48/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-57-24,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-57-24\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-57-24/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-57-40,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-57-40\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-57-40/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-57-57,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-57-57\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-57-57/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-58-13,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-58-13\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-58-13/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-58-31,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-58-31\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-58-31/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-58-49,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-58-49\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-58-49/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-59-08,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-59-08\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-59-08/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_18-59-25,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_18-59-25\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-59-25/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-02-54,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-02-54\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-02-54/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-03-09,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-03-09\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-03-09/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-03-26,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-03-26\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-03-26/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-03-45,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-03-45\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-03-45/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-04-04,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-04-04\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-04-04/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-04-23,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-04-23\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-04-23/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-04-48,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-04-48\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-04-48/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-05-07,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-05-07\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-05-07/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-10-59,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-10-59\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-10-59/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-11-16,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-11-16\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-11-16/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-05-11_19-11-35,ds_datanoah_2026-04-28,dataNoah,/mnt/d/3branch/dataNoah/Processing/session_2026-05-11_19-11-35\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_19-11-35/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
