session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-07-20_18-40-56,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-40-56/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-41-11,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-11/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-41-27,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-27/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-41-42,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-42/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-41-58,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-58/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-42-13,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-42-13/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-43-39,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-43-39/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-43-55,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-43-55/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-44-10,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-10/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-44-26,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-26/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-44-41,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-41/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-44-57,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-57/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-45-12,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-12/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-45-28,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-28/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-45-59,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-59/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-46-15,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-15/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-46-30,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-30/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-46-46,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-46/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-47-01,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-01/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-47-17,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-17/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-47-33,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-33/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
session_2026-07-20_18-47-48,ds_buildingunknown_2026-07-20,imu,unknown,2026-07-20,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-48/,,,silver,raw,none,,,Uploaded from external drive D:\Data\imu on 2026-08-26. Building unknown; captured with IMU-enabled recorder (dca_realsense_recorder_imu.py). Resolve building in manifest per DATA_LAYOUT_PLAN sec 12.
