session_id,dataset_id,legacy_dataset_name,current_raw_path,target_raw_path,mapping_scope,migration_status,notes
session_2026-07-20_18-40-56,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-40-56\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-40-56/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-41-11,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-41-11\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-11/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-41-27,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-41-27\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-27/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-41-42,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-41-42\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-42/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-41-58,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-41-58\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-41-58/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-42-13,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-42-13\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-42-13/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-43-39,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-43-39\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-43-39/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-43-55,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-43-55\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-43-55/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-44-10,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-44-10\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-10/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-44-26,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-44-26\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-26/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-44-41,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-44-41\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-41/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-44-57,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-44-57\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-44-57/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-45-12,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-45-12\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-12/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-45-28,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-45-28\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-28/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-45-59,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-45-59\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-45-59/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-46-15,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-46-15\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-15/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-46-30,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-46-30\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-30/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-46-46,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-46-46\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-46-46/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-47-01,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-47-01\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-01/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-47-17,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-47-17\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-17/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
session_2026-07-20_18-47-33,ds_buildingunknown_2026-07-20,imu,/mnt/d/Data/imu/session_2026-07-20_18-47-33\,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_buildingunknown_2026-07-20/session_2026-07-20_18-47-33/,session_root,planned,"Fresh upload from external drive. Local source path, not GCS."
