session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-06-15_17-26-22,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-26-22/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-26-46,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-26-46/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-27-08,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-27-08/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-27-31,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-27-31/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-27-54,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-27-54/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-28-17,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-28-17/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-28-38,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-28-38/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-28-59,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-28-59/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-29-49,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-29-49/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-06-15_17-30-10,ds_mcvey_2026-06-14,McVey,McVey,2026-06-15,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-06-15_17-30-10/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
